#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Shaitaan,Hindi,None,2D,Atmos,2K,5.1,2.39:1,2.39:1,13-Jan-24,14-Jan-24,"Raj Mandir, Jaipur",Raj Mandir,Jaipur
,Fighter,Hindi,None,3D,RealD,2K,5.1,2.39:1,2.39:1,14-Jan-24,15-Jan-24,"TDI Jagat, Chandigarh, India",,
,Crakk,Hindi,None,2D,LUXE,2K,5.1,2.39:1,2.39:1,15-Jan-24,16-Jan-24,"CP67 Mall, Mohali",,
,The Boy And The Heron,English,English,2D,,2K,5.1,2.39:1,1.85:1,18-Jan-24,19-Jan-24,"TDI Jagat, Chandigarh, India",,
,Zindagi Na Milegi Dobara,Hindi ,None,2D,,2K,5.1,2.39:1,2.39:1,15-Jul-11,1-Jun-24,"Elante Mall, Chandigarh, India",,
,Munjya,Hindi,None,2D,Atmos,2K,5.1,2.39:1,2.39:1,,18-Jun-24,"Vishal Mall, Rajouri Garden, Delhi",,
,Inside Out 2,English,English,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,,18-Jun-24,"Vishal Mall, Rajouri Garden, Delhi",,
,Kalki 2898 AD,Hindi,None,3D,RealD,2K,5.1,2.39:1,2.39:1,20-Jan-24,21-Jan-24,"TDI Jagat, Chandigarh, India",,
,A Quiet Place Day One,English,None,2D,,2K,5.1,2.39:1,2.39:1,28-Jun-24,1-Jul-24,"TDI Jagat, Chandigarh, India",2,G5
,Kill,Hindi,English,2D,,2K,5.1,2.39:1,2.39:1,5-Jul-24,6-Jul-24,"Centra Mall, Chandigarh, India",,
,Despicable Me 4,English,English,3D,RealD,2K,5.1,2.39:1,1.85:1,5-Jul-24,11-Jul-24,"TDI Jagat, Chandigarh, India",,
,Devara: Part 1,Hindi,None,2D,IMAX,2K,5.1,2.39:1,2.39:1,,,,,
,Longlegs,English,None,2D,,2K,5.1,2.39:1,2.39:1,12-Jul-24,13-Jul-24,"TDI Jagat, Chandigarh, India",,
,Kalki 2898 AD,Hindi,None,3D,P[XL]; RealD; Atmos,2K,5.1,1.85:1,2.39:1,28-Jun-24,18-Jul-24,"TDI Jagat, Chandigarh, India",,
,Twsiters,English,English,2D,ICE,2K,5.1,2.39:1,2.39:1,18-Jul-24,25-Jul-24,"DLF Promenade, Delhi",,
,Deadpool And Wolverine,English,English,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,26-Jul-24,26-Jul-24,"Select Citywalk,Saket, Delhi",,
